id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
32880,Kaia,KAIA,kaia,103,2024-10-29T05:17:50.000Z,"['platform', 'enterprise-solutions', 'layer-1']",,5876488969.169521,5876488959.613025,True,,87,5876459838.49718,1022362690.6645762,,2024-11-23T12:36:00.000Z,0.173975951297581,50685048.23714453,6.2392,1.04321327,8.18981707,22.70501984,39.2425337,39.2425337,39.2425337,1022367758.7010087,0.0304,1022367757.04,,2024-11-23T12:36:00.000Z,32880.0,KAIA,KAIA,kaia,0x0000000000000000000000000000000000000000,2024-11-23 12:38:14.403678
5665,Helium,HNT,helium,166,2020-06-05T00:00:00.000Z,"['mineable', 'enterprise-solutions', 'distributed-computing', 'iot', 'solana-ecosystem', 'usv-portfolio', 'multicoin-capital-portfolio', 'web3', 'depin']",,170472132.10520223,170472132.10520223,False,,88,,,,2024-11-23T12:36:00.000Z,5.960300726523411,29039202.88938846,66.1003,0.10205569,6.79644677,0.44749926,-17.79607882,-18.03760884,-6.88042445,1016065172.8386317,0.0302,1016065172.84,,2024-11-23T12:36:00.000Z,,,,,,2024-11-23 12:38:14.403678
27659,Mog Coin,MOG,mog-coin,124,2023-07-21T19:17:41.000Z,"['memes', 'base-ecosystem', 'cat-themed']",420690000000000.0,390567526433216.7,390567526433216.7,False,,89,,,,2024-11-23T12:36:00.000Z,2.5978003389358656e-06,56129886.71440527,-61.6919,0.58694858,-8.92757502,-6.31394265,33.70871751,112.35386009,107.71412356,1014616452.545553,0.0302,1092868624.59,,2024-11-23T12:36:00.000Z,1027.0,Ethereum,ETH,ethereum,0xaaeE1A9723aaDB7afA2810263653A34bA2C21C7a,2024-11-23 12:38:14.403678
7431,Akash Network,AKT,akash-network,110,2020-10-16T00:00:00.000Z,"['cosmos-ecosystem', 'ai-big-data', 'distributed-computing', 'web3', 'injective-ecosystem', 'generative-ai', 'depin']",388539008.0,248285794.661141,248285800.802151,False,,90,,,,2024-11-23T12:36:00.000Z,3.954669958370415,27646101.22009115,-8.729,1.82230952,5.01438798,19.84046578,62.70530336,39.10943676,45.08979425,981888373.23654,0.0292,1536543542.59,,2024-11-23T12:36:00.000Z,,,,,,2024-11-23 12:38:14.403678
6892,MultiversX,EGLD,multiversx-egld,274,2020-09-04T00:00:00.000Z,"['pos', 'enterprise-solutions', 'distributed-computing', 'loyalty', 'defi', 'gaming', 'identity', 'payments', 'scaling', 'smart-contracts', 'software', 'binance-launchpad', 'binance-labs-portfolio', 'metaverse', 'electric-capital-portfolio', 'exnetwork-capital-portfolio', 'mobile-payment', 'web3', 'elrond-ecosystem', 'injective-ecosystem', 'bnb-chain', 'layer-1', 'dwf-labs-portfolio', 'multiversx-ecosystem', 'depin']",31415926.0,27585788.17396626,27644189.0,False,,91,27644189.0,983157007.58827,,2024-11-23T12:36:00.000Z,35.564689837284426,112610867.70727366,126.1318,0.68096581,16.66628934,18.51454159,38.36979824,24.02521443,13.59839927,981080000.3241388,0.0292,1117297664.14,,2024-11-23T12:36:00.000Z,,,,,,2024-11-23 12:38:14.403678
1966,Decentraland,MANA,decentraland,538,2017-09-17T00:00:00.000Z,"['platform', 'collectibles-nfts', 'gaming', 'payments', 'metaverse', 'boostvc-portfolio', 'dcg-portfolio', 'fabric-ventures-portfolio', 'kenetic-capital-portfolio', 'polygon-ecosystem', 'play-to-earn', 'sec-security-token', 'alleged-sec-securities']",,1942255184.1130493,2193179327.320146,False,,92,,,,2024-11-23T12:36:00.000Z,0.5041018628558366,247398158.5163309,106.492,3.78925646,16.90145699,15.70524023,60.37896236,62.07340346,62.9886573,979094456.452794,0.0291,1105585784.48,,2024-11-23T12:36:00.000Z,1027.0,Ethereum,ETH,ethereum,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,2024-11-23 12:38:14.403678
4269,GateToken,GT,gatetoken,28,2019-08-20T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'ftx-bankruptcy-estate']",,88772287.90025817,300000000.0,False,,93,,,,2024-11-23T12:36:00.000Z,10.980486384223362,7815603.95433568,25.2057,-0.51113714,8.81447203,13.46817552,24.65060731,22.57798775,41.66184381,974762898.5851411,0.029,3294145915.27,,2024-11-23T12:36:00.000Z,1027.0,Ethereum,ETH,ethereum,0xe66747a101bff2dba3697199dcce5b743b454759,2024-11-23 12:38:14.403678
6210,The Sandbox,SAND,the-sandbox,603,2020-08-05T00:00:00.000Z,"['collectibles-nfts', 'content-creation', 'gaming', 'ethereum-ecosystem', 'binance-launchpad', 'metaverse', 'play-to-earn', 'animoca-brands-portfolio', 'sec-security-token', 'alleged-sec-securities']",,2394232126.2233224,3000000000.0,False,,94,,,,2024-11-23T12:36:00.000Z,0.40528212693165105,296419386.7619699,90.0478,2.25629828,12.36249209,20.7506522,54.93525575,43.73440365,37.41550101,970339488.4838773,0.0289,1215846380.79,,2024-11-23T12:36:00.000Z,1027.0,Ethereum,ETH,ethereum,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,2024-11-23 12:38:14.403678
18876,ApeCoin,APE,apecoin-ape,453,2022-03-17T12:26:36.000Z,"['collectibles-nfts', 'content-creation', 'gaming', 'entertainment', 'dao', 'governance', 'metaverse', 'animoca-brands-portfolio']",1000000000.0,752651515.0,1000000000.0,False,,95,752651515.0,955474265.5287362,,2024-11-23T12:36:00.000Z,1.2694776353818091,213466274.98803997,6.3041,1.62129915,9.17279687,7.47641167,12.57410476,53.9134057,72.59245794,955474265.5287362,0.0284,1269477635.38,,2024-11-23T12:36:00.000Z,1027.0,Ethereum,ETH,ethereum,0x4d224452801aced8b2f0aebe155379bb5d594381,2024-11-23 12:38:14.403678
29270,Aerodrome Finance,AERO,aerodrome-finance,193,2024-02-02T07:15:19.000Z,"['defi', 'amm']",,696414234.6416354,1376108741.9985423,False,,96,159975820.010395,219178184.17887336,,2024-11-23T12:36:00.000Z,1.3700707029639323,40349513.83196777,19.383,0.23388862,2.83008799,-4.24925882,16.3636628,49.45431074,91.9489745,954136740.0095544,0.0284,1885366271.5,,2024-11-23T12:36:00.000Z,27716.0,Base,TBA,base,0x940181a94a35a4569e4529a3cdfb74e38fd98631,2024-11-23 12:38:14.403678
28324,dYdX (Native),DYDX,dydx-chain,202,2021-08-03T00:00:00.000Z,['decentralized-exchange-dex-token'],,643931707.21,770455822.33,False,,97,501325666.72,727970746.5729766,,2024-11-23T12:36:00.000Z,1.4520915143560007,89069134.78237897,37.0374,3.34417167,11.522348,12.64896073,34.93772959,47.84831645,24.79912061,935047767.8644139,0.0279,1118772361.79,,2024-11-23T12:36:00.000Z,12220.0,Osmosis,OSMO,osmosis,ibc/831F0B1BBB1D08A2B75311892876D71565478C532967545476DF4C2D7492E48C,2024-11-23 12:38:14.403678
23254,Core,CORE,core-dao,81,2023-02-08T12:26:11.000Z,[],2100000000.0,922334039.6310332,2093854456.1150236,False,,98,,,,2024-11-23T12:36:00.000Z,1.0128247088010265,59555254.73992352,16.2227,0.51494069,4.49069704,6.3402935,11.09590929,-3.69388667,-12.48595116,934162705.1065756,0.0278,2126931888.48,,2024-11-23T12:36:00.000Z,,,,,,2024-11-23 12:38:14.403678
10791,eCash,XEC,ecash,114,2021-07-08T00:00:00.000Z,['layer-1'],,19788192172584.0,19788192172584.0,False,,99,19788192172584.0,933096858.3520547,,2024-11-23T12:36:00.000Z,4.7154224611020046e-05,92403215.34760837,-6.2619,0.0354049,5.73822217,2.33234011,39.51756426,39.88327995,34.21595757,933096858.3520547,0.0278,933096858.35,,2024-11-23T12:36:00.000Z,,,,,,2024-11-23 12:38:14.403678
9104,AIOZ Network,AIOZ,aioz-network,113,2021-04-02T00:00:00.000Z,"['media', 'platform', 'ai-big-data', 'distributed-computing', 'smart-contracts', 'video', 'storage', 'web3', 'bnb-chain', 'generative-ai', 'layer-1', 'dwf-labs-portfolio', 'depin']",,1138347792.7823706,1138347792.7823706,False,,100,1138363067.8115218,920187161.379561,,2024-11-23T12:36:00.000Z,0.808342423782775,41502668.6585775,75.8579,0.02983054,6.53490901,3.05723833,81.87929814,68.43043099,68.61436785,920174813.9254736,0.0274,920174813.93,,2024-11-23T12:36:00.000Z,,,,,,2024-11-23 12:38:14.403678
